Cluster ID	Gene ID|Swissprot Annotation	PFAM Annotations	NR Annotation	P value	Adjusted P Value	Average Log Fold Change	Percent Positive Cells in Cluster	Percent Positive Cells Outside of Cluster
i_granular_mucous_gland_cell	t19677aep|MEP1B_HUMAN	PF01400;PF01549;PF00642	PREDICTED: zinc metalloproteinase nas-13-like [Hydra vulgaris]	0	0	0.864495631	0.396	0.027
i_granular_mucous_gland_cell	t15046aep|CROCC_MOUSE	PF15035	PREDICTED: rootletin-like [Hydra vulgaris]	1.04E-140	3.48E-136	0.856696789	0.648	0.256
i_granular_mucous_gland_cell	t27176aep	NA	PREDICTED: uncharacterized protein LOC105849057 [Hydra vulgaris]	0	0	0.853360957	0.382	0.036
i_granular_mucous_gland_cell	t32136aep|ZDH11_MOUSE	PF01529	PREDICTED: uncharacterized protein LOC100209787 [Hydra vulgaris]	3.29E-121	1.10E-116	0.840496679	0.521	0.179
i_granular_mucous_gland_cell	t23345aep	NA	PREDICTED: porimin-like [Hydra vulgaris]	4.70E-85	1.57E-80	0.833466796	0.741	0.556
i_granular_mucous_gland_cell	t2567aep	NA	PREDICTED: uncharacterized protein LOC101238014 [Hydra vulgaris]	0	0	0.827655405	0.42	0.035
i_granular_mucous_gland_cell	t19410aep|CBPA4_HUMAN	PF00246;PF02244	PREDICTED: carboxypeptidase B-like [Hydra vulgaris]	0	0	0.816726879	0.361	0.032
i_granular_mucous_gland_cell	t27715aep	PF01549	PREDICTED: zinc metalloproteinase nas-13-like [Hydra vulgaris]	1.12E-193	3.74E-189	0.816095957	0.477	0.099
i_granular_mucous_gland_cell	t3610aep|CEL3B_MOUSE	PF00089;PF13365	PREDICTED: LOW QUALITY PROTEIN: chymotrypsin-like elastase family member 3B [Hydra vulgaris]	1.29E-285	4.30E-281	0.803800123	0.375	0.042
i_granular_mucous_gland_cell	t15831aep|LIPP_HORSE	PF00151;PF01477	PREDICTED: pancreatic lipase-related protein 2-like [Hydra vulgaris]	1.74E-164	5.81E-160	0.802945375	0.434	0.094
i_granular_mucous_gland_cell	t24412aep	PF00001	PREDICTED: uncharacterized protein LOC105847149 [Hydra vulgaris]	0	0	0.79989288	0.334	0.017
i_granular_mucous_gland_cell	t19391aep	PF00001	NA	0	0	0.799078817	0.398	0.043
i_granular_mucous_gland_cell	t34670aep|VKORL_HUMAN	PF07884	PREDICTED: vitamin K epoxide reductase complex subunit 1-like [Hydra vulgaris]	1.11E-90	3.72E-86	0.798767256	0.546	0.249
i_granular_mucous_gland_cell	t24978aep|USPAL_ARATH	PF00582	PREDICTED: universal stress protein A-like protein [Hydra vulgaris]	0	0	0.798567733	0.33	0.008
i_granular_mucous_gland_cell	t27689aep	NA	hypothetical protein [Methylohalobius crimeensis]	0	0	0.794055711	0.38	0.004
i_granular_mucous_gland_cell	t27148aep|ADRB2_TSCTR	PF00001;PF10320	PREDICTED: dopamine D2-like receptor [Hydra vulgaris]	1.20E-163	4.00E-159	0.788448914	0.429	0.097
i_granular_mucous_gland_cell	t21975aep	NA	PREDICTED: uncharacterized protein LOC100211930 [Hydra vulgaris]	2.20E-99	7.34E-95	0.78283518	0.511	0.198
i_granular_mucous_gland_cell	t37420aep|TTLL6_DANRE	PF03133;PF14398	"PREDICTED: tubulin polyglutamylase ttll6-like, partial [Hydra vulgaris]"	1.89E-240	6.32E-236	0.778788664	0.432	0.069
i_granular_mucous_gland_cell	t19154aep	PF04145	NA	1.69E-126	5.63E-122	0.778705847	0.457	0.134
i_granular_mucous_gland_cell	t31840aep	NA	PREDICTED: uncharacterized protein LOC100211562 [Hydra vulgaris]	5.44E-252	1.82E-247	0.774440553	0.375	0.046
i_granular_mucous_gland_cell	t13482aep	NA	NA	2.65E-71	8.84E-67	0.769361416	0.318	0.102
i_granular_mucous_gland_cell	t22254aep|VEGFA_BITGA	PF00341	PREDICTED: platelet-derived growth factor subunit B-like [Hydra vulgaris]	2.05E-90	6.86E-86	0.755857199	0.493	0.203
i_granular_mucous_gland_cell	t30993aep|SC5A8_HUMAN	PF00474	PREDICTED: sodium-coupled monocarboxylate transporter 1-like [Hydra vulgaris]	1.04E-104	3.47E-100	0.752862921	0.448	0.149
i_granular_mucous_gland_cell	t29240aep|NDK7_MOUSE	PF00334	PREDICTED: nucleoside diphosphate kinase 7-like [Hydra vulgaris]	5.75E-145	1.92E-140	0.746556386	0.416	0.099
i_granular_mucous_gland_cell	t36620aep	NA	NA	0	0	0.743189195	0.334	0.017
i_granular_mucous_gland_cell	t17510aep|BAX_BOVIN	PF00452	PREDICTED: apoptosis regulator BAX-like isoform X1 [Hydra vulgaris]	4.91E-75	1.64E-70	0.743180498	0.561	0.269
i_granular_mucous_gland_cell	t15952aep|TGFI1_BOVIN	PF00412	PREDICTED: uncharacterized protein LOC100209364 [Hydra vulgaris]	6.51E-164	2.18E-159	0.73879192	0.379	0.075
i_granular_mucous_gland_cell	t413aep	NA	NA	2.02E-142	6.74E-138	0.731140752	0.495	0.133
i_granular_mucous_gland_cell	t10195aep|CFA53_HUMAN	NA	PREDICTED: cilia- and flagella-associated protein 53-like [Hydra vulgaris]	6.25E-79	2.09E-74	0.726924241	0.559	0.273
i_granular_mucous_gland_cell	t5048aep|PDIA1_RABIT	PF00085;PF13848;PF04756;PF13899;PF13098;PF13905;PF00578;PF01216	Protein disulfide-isomerase [Exaiptasia pallida]	3.77E-119	1.26E-114	0.724820624	0.938	0.85
i_granular_mucous_gland_cell	t7935aep	NA	PREDICTED: uncharacterized protein LOC105846818 [Hydra vulgaris]	3.65E-263	1.22E-258	0.717769219	0.388	0.051
i_granular_mucous_gland_cell	t18282aep|KCBP_ORYSJ	PF00225;PF16796	PREDICTED: kinesin-like protein 1 [Hydra vulgaris]	1.67E-100	5.57E-96	0.71227567	0.407	0.126
i_granular_mucous_gland_cell	t34423aep	NA	PREDICTED: trypsin-3-like [Hydra vulgaris]	3.73E-139	1.25E-134	0.706033951	0.382	0.081
i_granular_mucous_gland_cell	t10853aep|ASL1B_DANRE	PF00010	PREDICTED: achaete-scute homolog 1a-like [Hydra vulgaris]	7.62E-288	2.54E-283	0.705827275	0.37	0.04
i_granular_mucous_gland_cell	t3676aep|TES_CHICK	PF00412;PF06297	PREDICTED: testin-like [Hydra vulgaris]	9.21E-153	3.08E-148	0.701444875	0.384	0.082
i_granular_mucous_gland_cell	t4150aep	PF01477	PREDICTED: uncharacterized protein LOC100208756 [Hydra vulgaris]	0	0	0.701029438	0.336	0.019
i_granular_mucous_gland_cell	t16614aep	NA	NA	0	0	0.687286144	0.327	0.017
i_granular_mucous_gland_cell	t20768aep|BRAC_CANLF	PF00907	brachyury protein homolog 1-like [Hydra vulgaris] >gi|38154456|gb|AAR12190.1| brachyury [Hydra vulgaris]	6.07E-133	2.03E-128	0.680113274	0.277	0.048
i_granular_mucous_gland_cell	t32529aep|LOXH1_MOUSE	PF12796;PF01477;PF13637;PF13857;PF13606;PF00023	"PREDICTED: uncharacterized protein LOC100204458, partial [Hydra vulgaris]"	1.66E-102	5.55E-98	0.66404856	0.388	0.115
i_granular_mucous_gland_cell	t23209aep|A1CF_PONAB	PF00076;PF14709;PF16367	PREDICTED: probable RNA-binding protein 46 isoform X1 [Hydra vulgaris]	3.97E-57	1.32E-52	0.652283638	0.477	0.24
i_granular_mucous_gland_cell	t17325aep|FHL2_HUMAN	PF00412	PREDICTED: four and a half LIM domains protein 2-like [Hydra vulgaris]	7.95E-75	2.65E-70	0.650913369	0.807	0.524
i_granular_mucous_gland_cell	t18508aep	PF00685;PF13469	PREDICTED: carbohydrate sulfotransferase 3-like [Hydra vulgaris]	0	0	0.648494878	0.28	0.005
i_granular_mucous_gland_cell	t18050aep	NA	NA	9.17E-260	3.06E-255	0.647602056	0.341	0.037
i_granular_mucous_gland_cell	t24691aep|UACA_MOUSE	PF12796;PF13637;PF13857;PF13606;PF00023	PREDICTED: ankycorbin-like isoform X1 [Hydra vulgaris]	2.67E-39	8.93E-35	0.646601966	0.475	0.293
i_granular_mucous_gland_cell	t17965aep	PF00191	PREDICTED: uncharacterized protein LOC101234414 [Hydra vulgaris]	8.22E-119	2.74E-114	0.639956942	0.393	0.103
i_granular_mucous_gland_cell	t22369aep|RIBC2_HUMAN	PF05914	PREDICTED: RIB43A-like with coiled-coils protein 2 [Hydra vulgaris]	5.76E-62	1.92E-57	0.639731983	0.436	0.194
i_granular_mucous_gland_cell	t37718aep|CFA45_HUMAN	PF13868	PREDICTED: cilia- and flagella-associated protein 45-like [Hydra vulgaris]	3.46E-115	1.15E-110	0.6367194	0.429	0.123
i_granular_mucous_gland_cell	t15474aep	NA	NA	0	0	0.632028509	0.291	0.021
i_granular_mucous_gland_cell	t24882aep	NA	NA	0	0	0.627467716	0.314	0.024
i_granular_mucous_gland_cell	t173aep|S18B1_MOUSE	PF07690;PF12832	"PREDICTED: uncharacterized protein LOC105845454, partial [Hydra vulgaris]"	4.09E-209	1.36E-204	0.621528321	0.312	0.041
i_granular_mucous_gland_cell	t5528aep|SX21B_DANRE	PF00505;PF09011	PREDICTED: transcription factor Sox-19a-like [Hydra vulgaris] >gi|828223525|ref|XP_012562658.1| PREDICTED: transcription factor Sox-19a-like [Hydra vulgaris]	1.95E-117	6.53E-113	0.616699828	0.323	0.071
i_granular_mucous_gland_cell	t28044aep	NA	NA	0	0	0.611162547	0.279	0.018
i_granular_mucous_gland_cell	t4685aep|TEKT2_RAT	PF03148	PREDICTED: tektin-2-like [Hydra vulgaris]	1.40E-38	4.67E-34	0.609020535	0.45	0.27
i_granular_mucous_gland_cell	t2890aep|TPPP2_BOVIN	PF05517	PREDICTED: uncharacterized protein LOC100206296 [Hydra vulgaris]	9.13E-53	3.05E-48	0.601412694	0.596	0.377
i_granular_mucous_gland_cell	t37422aep|ADA12_MOUSE	PF01421;PF01562;PF08516;PF00200;PF13688;PF13574;PF13582	"PREDICTED: disintegrin-like halysetin, partial [Hydra vulgaris]"	3.81E-56	1.27E-51	0.59535724	0.352	0.141
i_granular_mucous_gland_cell	t5860aep|KIF1A_DROPS	PF00225;PF16796;PF12423	PREDICTED: kinesin-like protein KIF28P [Hydra vulgaris]	1.44E-44	4.79E-40	0.594665961	0.388	0.194
i_granular_mucous_gland_cell	t10777aep	NA	NA	1.80E-251	6.02E-247	0.5927331	0.323	0.035
i_granular_mucous_gland_cell	t8464aep	PF13424	PREDICTED: uncharacterized protein LOC100210562 [Hydra vulgaris]	4.85E-22	1.62E-17	0.586325381	0.384	0.258
i_granular_mucous_gland_cell	t32283aep|PPBT_CHICK	PF00245	PREDICTED: alkaline phosphatase-like [Hydra vulgaris]	2.83E-50	9.44E-46	0.579547467	0.443	0.223
i_granular_mucous_gland_cell	t2603aep|IQCG_HUMAN	NA	PREDICTED: IQ domain-containing protein G-like [Hydra vulgaris]	6.34E-70	2.12E-65	0.576914342	0.411	0.158
i_granular_mucous_gland_cell	t30849aep	NA	PREDICTED: uncharacterized protein LOC100201455 [Hydra vulgaris]	7.99E-151	2.67E-146	0.574023479	0.305	0.05
i_granular_mucous_gland_cell	t25496aep|AOSL_PLEHO	PF00305;PF01477	"PREDICTED: arachidonate 5-lipoxygenase-like, partial [Hydra vulgaris]"	4.95E-117	1.65E-112	0.571984931	0.304	0.064
i_granular_mucous_gland_cell	t14309aep|CALUB_SALSA	PF00036;PF13405;PF13499;PF13202;PF13833	PREDICTED: calumenin-B-like [Hydra vulgaris]	8.90E-211	2.97E-206	0.571266687	0.298	0.035
i_granular_mucous_gland_cell	t15238aep|DCLK3_HUMAN	PF00069;PF03607;PF07714	PREDICTED: serine/threonine-protein kinase DCLK1-like [Hydra vulgaris]	6.48E-64	2.16E-59	0.557980822	0.348	0.126
i_granular_mucous_gland_cell	t2192aep	NA	NA	1.16E-91	3.86E-87	0.557698033	0.295	0.073
i_granular_mucous_gland_cell	t17747aep|AGRE1_RAT	PF00002	PREDICTED: uncharacterized protein LOC105848740 [Hydra vulgaris]	0	0	0.556874235	0.252	0.01
i_granular_mucous_gland_cell	t17575aep|ENDUB_DANRE	PF09412	PREDICTED: poly(U)-specific endoribonuclease-B-like [Hydra vulgaris]	8.67E-44	2.90E-39	0.551965818	0.416	0.204
i_granular_mucous_gland_cell	t14106aep|APT_YARLI	PF00156	PREDICTED: adenine phosphoribosyltransferase-like [Hydra vulgaris]	2.10E-47	7.02E-43	0.551718825	0.341	0.146
i_granular_mucous_gland_cell	t32041aep	PF07699	PREDICTED: uncharacterized protein LOC100202447 [Hydra vulgaris]	4.28E-187	1.43E-182	0.549864584	0.254	0.029
i_granular_mucous_gland_cell	t29584aep	PF06961	PREDICTED: uncharacterized protein LOC100212512 [Hydra vulgaris]	1.02E-28	3.40E-24	0.545745413	0.439	0.286
i_granular_mucous_gland_cell	t3720aep|NAS4_CAEEL	PF01400	PREDICTED: zinc metalloproteinase nas-4-like [Hydra vulgaris]	1.70E-225	5.68E-221	0.545308738	0.305	0.034
i_granular_mucous_gland_cell	t5694aep|RFX6_DANRE	PF02257	PREDICTED: uncharacterized protein LOC101239106 [Hydra vulgaris]	8.72E-300	2.91E-295	0.541951055	0.275	0.021
i_granular_mucous_gland_cell	t28689aep|FUCO_BRAFL	PF01120;PF16757	"PREDICTED: LOW QUALITY PROTEIN: alpha-L-fucosidase-like, partial [Hydra vulgaris]"	9.68E-282	3.23E-277	0.541787876	0.305	0.028
i_granular_mucous_gland_cell	t20351aep|SVEP1_HUMAN	PF07699;PF02494;PF15711	"PREDICTED: sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1-like, partial [Hydra vulgaris]"	0	0	0.534303777	0.252	0.017
i_granular_mucous_gland_cell	t35677aep|PGDH_HUMAN	PF00106;PF13561	PREDICTED: 15-hydroxyprostaglandin dehydrogenase [NAD(+)]-like [Hydra vulgaris]	2.03E-47	6.79E-43	0.529513312	0.455	0.221
i_granular_mucous_gland_cell	t17058aep	NA	PREDICTED: uncharacterized protein LOC105847475 [Hydra vulgaris]	4.60E-79	1.53E-74	0.528779814	0.332	0.097
i_granular_mucous_gland_cell	t23018aep	NA	NA	4.89E-91	1.63E-86	0.526402188	0.309	0.08
i_granular_mucous_gland_cell	t5655aep|MPDZ_MOUSE	PF00595	PREDICTED: segment polarity protein dishevelled-like [Hydra vulgaris]	9.13E-129	3.05E-124	0.524340287	0.28	0.049
i_granular_mucous_gland_cell	t12431aep	NA	PREDICTED: uncharacterized protein LOC100202260 [Hydra vulgaris]	1.95E-40	6.51E-36	0.523648784	0.802	0.65
i_granular_mucous_gland_cell	t18261aep|CCD92_HUMAN	PF14916	PREDICTED: uncharacterized protein LOC100198186 [Hydra vulgaris]	3.66E-76	1.22E-71	0.510166405	0.325	0.1
i_granular_mucous_gland_cell	t8536aep|ECT_ACRMI	PF00188	PREDICTED: uncharacterized protein LOC100215247 [Hydra vulgaris]	4.62E-24	1.54E-19	0.509812782	0.307	0.165
i_granular_mucous_gland_cell	t33782aep	NA	PREDICTED: uncharacterized protein LOC100201345 [Hydra vulgaris]	2.11E-48	7.06E-44	0.505572267	0.3	0.114
i_granular_mucous_gland_cell	t20203aep|ELL_HUMAN	PF10390;PF07303	PREDICTED: RNA polymerase II elongation factor ELL-like [Hydra vulgaris]	5.06E-54	1.69E-49	0.502716411	0.886	0.838
i_granular_mucous_gland_cell	t37009aep	NA	Uncharacterized protein APZ42_013935 [Daphnia magna]	2.28E-79	7.63E-75	0.50214132	0.27	0.065
i_granular_mucous_gland_cell	t38509aep|DCDC2_MOUSE	PF03607	PREDICTED: doublecortin domain-containing protein 2-like [Hydra vulgaris]	4.22E-52	1.41E-47	0.497061874	0.298	0.108
i_granular_mucous_gland_cell	t33226aep	NA	PREDICTED: uncharacterized protein LOC100213567 [Hydra vulgaris]	1.45E-51	4.84E-47	0.489688168	0.262	0.088
i_granular_mucous_gland_cell	t6297aep	NA	PREDICTED: acidic leucine-rich nuclear phosphoprotein 32 family member A-like [Hydra vulgaris]	2.84E-43	9.48E-39	0.489205793	0.284	0.112
i_granular_mucous_gland_cell	t23813aep|PIGL_RAT	PF02585	PREDICTED: N-acetylglucosaminyl-phosphatidylinositol de-N-acetylase-like [Hydra vulgaris] >gi|828224179|ref|XP_012562871.1| PREDICTED: N-acetylglucosaminyl-phosphatidylinositol de-N-acetylase-like [Hydra vulgaris]	3.37E-165	1.13E-160	0.488405467	0.286	0.041
i_granular_mucous_gland_cell	t16083aep	PF14604;PF07653;PF00018;PF14603;PF08239	PREDICTED: bromodomain-containing protein DDB_G0270170-like [Hydra vulgaris]	2.28E-39	7.60E-35	0.487289054	0.262	0.102
i_granular_mucous_gland_cell	t35488aep|AGO2_HUMAN	PF02171;PF16486;PF02170;PF08699;PF16488;PF16487	PREDICTED: protein argonaute-2-like [Hydra vulgaris]	1.11E-27	3.71E-23	0.481443512	0.691	0.587
i_granular_mucous_gland_cell	t31485aep|TOR1A_MACFA	PF06309	PREDICTED: torsin-1A-like [Hydra vulgaris]	2.59E-19	8.66E-15	0.480048745	0.341	0.224
i_granular_mucous_gland_cell	t23810aep|NUCB2_RAT	PF13499;PF00036;PF13405	PREDICTED: nucleobindin-2-like isoform X1 [Hydra vulgaris]	1.29E-37	4.30E-33	0.475692582	0.766	0.7
i_granular_mucous_gland_cell	t29803aep	NA	NA	3.19E-119	1.07E-114	0.473772873	0.305	0.061
i_granular_mucous_gland_cell	t12067aep	NA	PREDICTED: uncharacterized protein LOC100208683 [Hydra vulgaris]	2.71E-212	9.06E-208	0.47181562	0.695	0.215
i_granular_mucous_gland_cell	t28848aep|KAD5_BOVIN	PF00406;PF13207;PF13238;PF13671;PF02223;PF13245;PF06414	PREDICTED: adenylate kinase isoenzyme 5-like [Hydra vulgaris]	1.87E-36	6.23E-32	0.470803122	0.464	0.258
i_granular_mucous_gland_cell	t4138aep	NA	NA	8.41E-15	2.81E-10	0.466112753	0.309	0.204
i_granular_mucous_gland_cell	t21128aep|ESRP1_RAT	PF00076	PREDICTED: epithelial splicing regulatory protein 1-like [Hydra vulgaris]	1.29E-66	4.32E-62	0.466006973	0.346	0.117
i_granular_mucous_gland_cell	t822aep|CC173_HUMAN	PF13868	PREDICTED: coiled-coil domain-containing protein 173-like isoform X1 [Hydra vulgaris]	1.64E-47	5.47E-43	0.458682791	0.271	0.098
i_granular_mucous_gland_cell	t16153aep	NA	PREDICTED: uncharacterized protein LOC105847351 [Hydra vulgaris]	6.44E-41	2.15E-36	0.458059496	0.314	0.132
i_granular_mucous_gland_cell	t23442aep|RAB38_HUMAN	PF00071;PF08477;PF00025;PF01926	PREDICTED: uncharacterized protein LOC100209668 [Hydra vulgaris]	5.99E-35	2.00E-30	0.450182017	0.27	0.115
i_granular_mucous_gland_cell	t38106aep	NA	NA	1.15E-100	3.85E-96	0.449810757	0.336	0.081
i_granular_mucous_gland_cell	t10353aep	NA	PREDICTED: protein PFC0760c-like [Hydra vulgaris]	1.64E-71	5.47E-67	0.446489307	0.259	0.068
i_granular_mucous_gland_cell	t19664aep	NA	NA	4.38E-81	1.46E-76	0.442085197	0.368	0.108
i_granular_mucous_gland_cell	t9941aep	PF15238	PREDICTED: uncharacterized protein LOC100210921 [Hydra vulgaris]	6.68E-19	2.23E-14	0.439293642	0.37	0.249
i_granular_mucous_gland_cell	t1396aep|LRMP_DANRE	PF05781;PF14662;PF14658	PREDICTED: uncharacterized protein PFB0145c-like [Hydra vulgaris]	1.10E-26	3.69E-22	0.43848521	0.259	0.124
i_granular_mucous_gland_cell	t6977aep|PLCL2_MOUSE	PF00388;PF00387;PF00168	PLC-deltaH [Hydra vulgaris]	4.87E-57	1.63E-52	0.433561717	0.293	0.098
i_granular_mucous_gland_cell	t31908aep|RSLBA_HUMAN	PF00071	PREDICTED: ras-related and estrogen-regulated growth inhibitor-like protein [Hydra vulgaris]	1.75E-90	5.84E-86	0.43274797	0.255	0.056
i_granular_mucous_gland_cell	t11516aep|GRM1B_HUMAN	PF16016	PREDICTED: GRAM domain-containing protein 1B-like isoform X1 [Hydra vulgaris]	4.11E-14	1.37E-09	0.421326147	0.255	0.158
i_granular_mucous_gland_cell	t3275aep	NA	PREDICTED: uncharacterized protein LOC100208299 [Hydra vulgaris]	5.00E-19	1.67E-14	0.420256094	0.398	0.278
i_granular_mucous_gland_cell	t3449aep|TSN11_MOUSE	PF00335	PREDICTED: CD151 antigen-like [Hydra vulgaris] >gi|828223965|ref|XP_012562800.1| PREDICTED: CD151 antigen-like [Hydra vulgaris]	1.31E-47	4.37E-43	0.416185942	0.777	0.469
i_granular_mucous_gland_cell	t17453aep|ZC21C_RAT	PF13913	PREDICTED: uncharacterized protein LOC100211834 [Hydra vulgaris]	1.26E-23	4.21E-19	0.413245525	0.352	0.209
i_granular_mucous_gland_cell	t37156aep|CHIA_MOUSE	PF00704	PREDICTED: chitinase-3-like protein 1 [Hydra vulgaris]	1.95E-213	6.53E-209	0.408512438	0.357	0.048
i_granular_mucous_gland_cell	t9529aep	PF07716	PREDICTED: uncharacterized protein LOC100204325 [Hydra vulgaris]	1.68E-15	5.60E-11	0.405865138	0.514	0.429
i_granular_mucous_gland_cell	t36612aep|ERIC3_HUMAN	PF15257	"PREDICTED: glutamate-rich protein 3-like, partial [Hydra vulgaris]"	4.49E-31	1.50E-26	0.404292223	0.432	0.26
i_granular_mucous_gland_cell	t24952aep	NA	PREDICTED: uncharacterized protein LOC100201038 [Hydra vulgaris]	4.50E-27	1.50E-22	0.403516438	0.464	0.28
i_granular_mucous_gland_cell	t29016aep|KI13A_HUMAN	PF00225;PF16796	PREDICTED: kinesin-1 heavy chain-like [Hydra vulgaris]	2.84E-40	9.47E-36	0.400878342	0.327	0.145
i_granular_mucous_gland_cell	t4286aep|PDE2A_BOVIN	PF00233;PF01590;PF13185	"PREDICTED: cGMP-dependent 3',5'-cyclic phosphodiesterase-like [Hydra vulgaris]"	1.57E-14	5.23E-10	0.398080279	0.427	0.335
i_granular_mucous_gland_cell	t25255aep|PDE6D_MOUSE	PF05351	"PREDICTED: retinal rod rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit delta-like [Hydra vulgaris]"	4.71E-18	1.57E-13	0.395989475	0.252	0.14
i_granular_mucous_gland_cell	t31783aep|DMBT1_RABIT	PF00530	PREDICTED: uncharacterized protein LOC105846302 [Hydra vulgaris]	0	0	0.391992143	0.484	0.062
i_granular_mucous_gland_cell	t23649aep|HSP12_CAEEL	PF00011	PREDICTED: alpha-crystallin A chain-like [Hydra vulgaris]	5.39E-32	1.80E-27	0.390328828	0.921	0.794
i_granular_mucous_gland_cell	t11531aep|MORN3_BOVIN	PF02493	PREDICTED: MORN repeat-containing protein 3-like [Hydra vulgaris]	8.48E-32	2.83E-27	0.38314501	0.268	0.116
i_granular_mucous_gland_cell	t16922aep|DDX4_PELLE	PF00270;PF00271	PREDICTED: ATP-dependent RNA helicase DDX3X-like [Hydra vulgaris]	1.01E-18	3.37E-14	0.379059994	0.638	0.543
i_granular_mucous_gland_cell	t15256aep|ERP44_MOUSE	PF13848;PF00085	PREDICTED: endoplasmic reticulum resident protein 44-like [Hydra vulgaris]	3.74E-19	1.25E-14	0.373346723	0.659	0.633
i_granular_mucous_gland_cell	t8496aep	PF00017	PREDICTED: uncharacterized protein LOC100200537 [Hydra vulgaris]	2.12E-38	7.09E-34	0.370393286	0.723	0.444
i_granular_mucous_gland_cell	t28476aep	NA	PREDICTED: myb-like protein X [Hydra vulgaris]	1.01E-54	3.36E-50	0.367614512	0.273	0.087
i_granular_mucous_gland_cell	t19747aep	NA	NA	1.11E-111	3.69E-107	0.363571036	0.261	0.047
i_granular_mucous_gland_cell	t35573aep|SHL2_ORYSJ	PF05183;PF00271;PF04851;PF00270	"PREDICTED: probable ATP-dependent RNA helicase DDX58, partial [Hydra vulgaris]"	1.07E-07	0.003560297	0.361603777	0.416	0.375
i_granular_mucous_gland_cell	t14589aep|EFHC2_DANRE	PF06565	PREDICTED: EF-hand domain-containing family member C2-like [Hydra vulgaris]	5.90E-13	1.97E-08	0.358604458	0.262	0.167
i_granular_mucous_gland_cell	t23543aep|DIRA1_HUMAN	PF00071;PF08477;PF00025	PREDICTED: GTP-binding protein Di-Ras1-like [Hydra vulgaris]	3.80E-45	1.27E-40	0.356571814	0.359	0.158
i_granular_mucous_gland_cell	t315aep|EPS8_MOUSE	PF08416;PF00018;PF07653;PF14604	PREDICTED: epidermal growth factor receptor kinase substrate 8-like isoform X1 [Hydra vulgaris] >gi|828208183|ref|XP_012557568.1| PREDICTED: epidermal growth factor receptor kinase substrate 8-like isoform X1 [Hydra vulgaris]	3.89E-08	0.001297851	0.354508583	0.407	0.359
i_granular_mucous_gland_cell	t10801aep|NAS6_CAEEL	PF01400	PREDICTED: high choriolytic enzyme 1-like isoform X1 [Hydra vulgaris]	1.44E-24	4.81E-20	0.350436544	0.314	0.173
i_granular_mucous_gland_cell	t48aep|XBP1_MOUSE	PF00170;PF07716	PREDICTED: uncharacterized protein LOC100210912 [Hydra vulgaris]	2.93E-09	9.79E-05	0.34994771	0.454	0.411
i_granular_mucous_gland_cell	t4923aep	NA	NA	5.52E-20	1.84E-15	0.344077321	0.504	0.356
i_granular_mucous_gland_cell	t26352aep	PF00010	PREDICTED: probable serine/threonine-protein kinase tsuA [Hydra vulgaris]	9.40E-117	3.14E-112	0.341346181	0.268	0.047
i_granular_mucous_gland_cell	t1847aep|EFCB1_XENLA	PF13405;PF00036;PF13499;PF13202;PF13833	PREDICTED: EF-hand calcium-binding domain-containing protein 1-like [Hydra vulgaris]	7.98E-19	2.67E-14	0.340755462	0.296	0.174
i_granular_mucous_gland_cell	t12867aep|ALG5_HUMAN	PF00535;PF13641	PREDICTED: dolichyl-phosphate beta-glucosyltransferase-like [Hydra vulgaris]	1.91E-08	0.000637075	0.339587541	0.4	0.354
i_granular_mucous_gland_cell	t10506aep|CHSS1_MOUSE	PF05679;PF02434;PF02709	PREDICTED: chondroitin sulfate synthase 1-like [Hydra vulgaris]	9.23E-16	3.08E-11	0.338880555	0.309	0.197
i_granular_mucous_gland_cell	t38117aep|SAXO1_RAT	NA	PREDICTED: protein FAM154A-like [Hydra vulgaris]	1.92E-43	6.42E-39	0.332310506	0.257	0.092
i_granular_mucous_gland_cell	t20124aep|CP100_MACFA	PF13863	PREDICTED: coiled-coil domain-containing protein 37-like [Hydra vulgaris]	2.59E-08	0.000864482	0.325656367	0.279	0.207
i_granular_mucous_gland_cell	t16668aep|SC61G_BRABE	PF00584	PREDICTED: protein transport protein Sec61 subunit gamma isoform X1 [Corvus brachyrhynchos]	2.02E-28	6.75E-24	0.324359991	0.895	0.845
i_granular_mucous_gland_cell	t1197aep|SP17_RABIT	PF02197	PREDICTED: A-agglutinin anchorage subunit-like [Hydra vulgaris]	1.19E-19	3.96E-15	0.322694338	0.286	0.162
i_granular_mucous_gland_cell	t4166aep|SERP2_MOUSE	NA	PREDICTED: stress-associated endoplasmic reticulum protein 2-like [Acropora digitifera]	1.57E-20	5.23E-16	0.319972205	0.754	0.737
i_granular_mucous_gland_cell	t10930aep|MYPH_ECHGR	PF00307;PF00402	PREDICTED: myophilin-like [Hydra vulgaris]	2.05E-30	6.83E-26	0.305984136	0.468	0.254
i_granular_mucous_gland_cell	t26394aep|TMED7_HUMAN	PF01105	PREDICTED: transmembrane emp24 domain-containing protein 7-like [Hydra vulgaris]	4.35E-36	1.45E-31	0.304222882	0.366	0.171
i_granular_mucous_gland_cell	t26113aep|SC61B_PONAB	PF03911	PREDICTED: protein transport protein Sec61 subunit beta-like [Hydra vulgaris]	7.15E-23	2.39E-18	0.302157837	0.905	0.87
